,neighbourhood,municipality,play_demand,a_00_14,geometry,index_right,Unnamed: 0,id,name,addr:postcode,type,distance,category
0,Appingedam-Oost,Appingedam,7,900,POINT (6.8593699 53.3070697),1032,1032,node/2831440481,Manege Biesum,9931BT,nl_sports_centre,5.12,sport
1,Hoogkerk-Zuid,Groningen,5,965,POINT (6.4922742 53.2058736),715,715,node/2739293160,Sporthal Hoogkerk,9744AP,nl_sports_centre,1.72,sport
2,Beijum-West,Groningen,6,1005,POINT (6.5871023 53.2493503),1879,1879,node/6452881273,Mauritshal,9785BG,nl_sports_centre,1.71,sport
3,Beijum-Oost,Groningen,6,1175,POINT (6.6010121 53.2485794),1879,1879,node/6452881273,Mauritshal,9785BG,nl_sports_centre,2.04,sport
4,Bedum,Het Hogeland,6,1205,POINT (6.5998288 53.3016754),1879,1879,node/6452881273,Mauritshal,9785BG,nl_sports_centre,4.24,sport
5,Haren,Groningen,6,1485,POINT (6.5858321 53.1709902),109,109,node/469191049,Groninger Kanovereniging,9752XJ,nl_sports_centre,1.52,sport
6,Oosterhaar,Groningen,5,935,POINT (6.6300449 53.179346),246,246,node/1586986383,Sportcentrum Scharlakenhof,,nl_sports_centre,2.13,sport
7,De Wierden,Almere,5,810,POINT (5.2101188 52.3358645),1061,1061,node/2840680189,FysioHaven,1354BE,nl_sports_centre,0.84,sport
8,Centrum Almere Stad,Almere,5,560,POINT (5.2199218 52.3701165),621,621,node/2696806543,Flevomotion,,nl_sports_centre,0.08,sport
9,Filmwijk,Almere,6,1655,POINT (5.2373944 52.3653403),1064,1064,node/2842341112,Palladium Fitness & Acrobatic Centrum,1326CP,nl_sports_centre,1.31,sport
10,Danswijk,Almere,5,1110,POINT (5.251656 52.3700447),1064,1064,node/2842341112,Palladium Fitness & Acrobatic Centrum,1326CP,nl_sports_centre,1.12,sport
11,Parkwijk,Almere,5,885,POINT (5.251656 52.3700447),1064,1064,node/2842341112,Palladium Fitness & Acrobatic Centrum,1326CP,nl_sports_centre,1.12,sport
12,Waterwijk,Almere,6,1165,POINT (5.2338726 52.3908526),1755,1755,node/5218534799,Schietsportvereniging De Flevoschutters,1316RJ,nl_sports_centre,1.27,sport
13,Tussen de Vaarten Noord,Almere,5,1185,POINT (5.2480427 52.3862199),1059,1059,node/2840421840,Van Rheenen Sport,1318EE,nl_sports_centre,0.37,sport
14,Tussen de Vaarten Zuid,Almere,6,1985,POINT (5.2659253 52.3747475),1066,1066,node/2842841317,Aquayara Zwemschool,1328LJ,nl_sports_centre,0.59,sport
15,Kruidenwijk,Almere,6,1395,POINT (5.1992227 52.3843738),1754,1754,node/5218184837,"Tennisvereniging ""Koriander""",1314AZ,nl_sports_centre,1.01,sport
16,Noorderplassen,Almere,5,1955,POINT (5.1855545 52.3916477),1754,1754,node/5218184837,"Tennisvereniging ""Koriander""",1314AZ,nl_sports_centre,2.53,sport
17,Stedenwijk,Almere,7,1915,POINT (5.216516 52.360927),618,618,node/2691807642,Fitness,,nl_sports_centre,1.02,sport
18,Muziekwijk Noord,Almere,6,1750,POINT (5.1920131 52.3726804),1053,1053,node/2839649778,Forza Almere,1324CT,nl_sports_centre,1.75,sport
