neighbourhood,municipality,longitude,latitude,play_demand,a_00_14
Appingedam-Oost,Appingedam,6.8593699,53.3070697,7,900
Hoogkerk-Zuid,Groningen,6.4922742,53.2058736,5,965
Beijum-West,Groningen,6.5871023,53.2493503,6,1005
Beijum-Oost,Groningen,6.6010121,53.2485794,6,1175
Haren,Groningen,6.5858321,53.1709902,6,1485
Oosterhaar,Groningen,6.6300449,53.179346,5,935
De Wierden,Almere,5.2101188,52.3358645,5,810
Centrum Almere Stad,Almere,5.2199218,52.3701165,5,560
Filmwijk,Almere,5.2373944,52.3653403,6,1655
Danswijk,Almere,5.251656,52.3700447,5,1110
Parkwijk,Almere,5.251656,52.3700447,5,885
Waterwijk,Almere,5.2338726,52.3908526,6,1165
Tussen de Vaarten Noord,Almere,5.2480427,52.3862199,5,1185
Tussen de Vaarten Zuid,Almere,5.2659253,52.3747475,6,1985
Kruidenwijk,Almere,5.1992227,52.3843738,6,1395
Stedenwijk,Almere,5.216516,52.360927,7,1915
Muziekwijk Noord,Almere,5.1920131,52.3726804,6,1750
Muziekwijk Zuid,Almere,5.195737,52.3658452,6,885
Literatuurwijk,Almere,5.1824098,52.3570914,6,1945
Noorderplassen,Almere,5.1855545,52.3916477,5,1955
Oostvaardersbuurt,Almere,5.2919064,52.4056228,5,1215
Seizoenenbuurt,Almere,5.2919064,52.4056228,5,960
Bloemenbuurt,Almere,5.2812143,52.3847421,5,895
Regenboogbuurt,Almere,5.296517,52.3947359,5,1005
Eilandenbuurt,Almere,5.296517,52.3947359,5,1265
Europakwartier,Almere,5.1483313,52.3532452,5,820
Homeruskwartier,Almere,5.1483313,52.3532452,6,1880
Veendam-Sorghvliet,Veendam,6.8531929,53.0991242,6,1375
Surhuisterveen,Achtkarspelen,6.1643051,53.1872937,7,905
Oosterpark,Harlingen,5.4568733,53.1633047,6,1430
De Greiden,Heerenveen,5.9192052,52.9497769,7,1210
Skoatterwald,Heerenveen,5.9402995,52.9675745,5,1210
Bilgaard,Leeuwarden,5.7944872,53.2162164,6,935
Stiens,Leeuwarden,5.752343,53.2643997,6,1170
Grou,Leeuwarden,5.8388679,53.0949487,5,800
De Drait,Smallingerland,6.0694,53.0985458,6,1135
Klazienaveen-Zuid,Emmen,6.9996925,52.7213967,6,840
Emmermeer,Emmen,6.8974268,52.8000081,6,830
Angelslo,Emmen,6.9347107,52.781689,6,1165
Emmerhout,Emmen,6.9277324,52.7955483,7,995
Bargeres,Emmen,6.8881123,52.7628944,7,1430
Rietlanden,Emmen,6.8909959,52.7465943,6,1495
Krakeel,Hoogeveen,6.512174,52.7237037,6,1045
Zuid,Hoogeveen,6.4857727,52.7144094,7,880
Dorp Schalkhaar,Deventer,6.1940083,52.268486,5,1105
Stroinkslanden-Zuid,Enschede,6.8993005,52.1864551,5,915
Binnenstad Kampen,Kampen,5.9185021,52.5564178,5,490
Cellesbroek,Kampen,5.8895659,52.5404583,7,1305
Losser-West,Losser,6.9854056,52.2560984,6,1160
De Thij,Oldenzaal,6.8997858,52.3118925,6,1000
Frankhuis,Zwolle,6.063102,52.53972,5,1830
Werkeren,Zwolle,6.063102,52.53972,5,1725
Milligen,Zwolle,6.063102,52.53972,6,1565
Orden,Apeldoorn,5.9359781,52.2042786,7,1045
Matendonk,Apeldoorn,6.0136525,52.1896843,6,950
Matenveld,Apeldoorn,5.9936604,52.1907026,5,1080
Osseveld-Oost,Apeldoorn,6.0221493,52.2132321,5,1085
Woudhuis,Apeldoorn,6.0221493,52.2132321,5,1060
Zuidbroek - Mozaïek & Rooster,Apeldoorn,6.0000474,52.2356828,5,1605
Presikhaaf III,Arnhem,5.950182,51.9814374,5,815
Malburgen-West,Arnhem,5.8903767,51.975152,5,865
De Laar-West,Arnhem,5.8564699,51.9489686,6,1050
De Laar-Oost,Arnhem,5.8743377,51.9467506,7,1090
Schuytgraaf-Noord,Arnhem,5.8435647,51.958901,5,1580
Schuytgraaf-Zuid,Arnhem,5.8435647,51.958901,5,1265
De Burgt,Barneveld,5.561872,52.1293383,5,1410
Zuidoostelijke Buitenwijken Ter Weijde,Culemborg,5.2511826,51.9563063,7,1290
Westelijke Buitenwijken,Culemborg,5.2058155,51.9516895,5,1335
Druten,Druten,5.5942725,51.8940837,7,895
Ermelo,Ermelo,5.6186704,52.2944597,6,1575
Ermelo-West,Ermelo,5.5903572,52.3038053,7,1135
Heerde,Heerde,6.049638,52.3909176,6,1370
Malden-Oost,Heumen,5.8533248,51.7832872,6,895
Kerkdriel,Maasdriel,5.3380468,51.7711528,6,1085
Hengstdal,Nijmegen,5.8893668,51.829311,5,755
Biezen,Nijmegen,5.8346224,51.8532423,7,1000
Wolfskuil,Nijmegen,5.8403562,51.8410314,6,900
Heseveld,Nijmegen,5.8247418,51.8378314,5,865
Neerbosch-Oost,Nijmegen,5.815154,51.8316819,6,1045
Nije Veld,Nijmegen,5.8499243,51.8312811,6,855
Grootstal,Nijmegen,5.8466081,51.81555,5,670
Hatert,Nijmegen,5.8293517,51.8044879,6,1245
